Nombre,Posición,Duración,Alineación,Evento,Jugada,Resultado
Acción de ataque (38),1139000,8680,Jugador_14 (ld);Jugador_7 (li);Jugador_9 (pi);Jugador_3 (c);Jugador_13 (ei),Acción de ataque,Jugada_20,Nada
Acción de ataque (35),1043760,11880,Jugador_14 (ld);Jugador_7 (li);Jugador_9 (pi);Jugador_3 (c),Acción de ataque,Jugada_66,Gol
Acción de ataque (27),907400,11640,Jugador_14 (ld);Jugador_1 (c);Jugador_5 (pi);Jugador_11 (ed);Jugador_3 (li),Acción de ataque,Jugada_22,Pérdida
Acción de ataque (29),1088480,12960,Jugador_14 (ld);Jugador_1 (c);Jugador_5 (pi);Jugador_7 (li);Jugador_6 (ei),Acción de ataque,Jugada_69,Pérdida
Acción de ataque (30),1125600,16440,Jugador_14 (ld);Jugador_1 (c);Jugador_5 (pi);Jugador_7 (li);Jugador_6 (ei),Acción de ataque,Jugada_23,Pérdida
Acción de ataque (32),1209720,15600,Jugador_14 (ld);Jugador_1 (c);Jugador_5 (pi);Jugador_7 (li);Jugador_6 (ei),Acción de ataque,Jugada_41,Gol
Acción de ataque (28),1035600,7320,Jugador_14 (ld);Jugador_1 (c);Jugador_5 (pi);Jugador_7 (li),Acción de ataque,Jugada_40,Pérdida
Acción de ataque (31),1178000,13880,Jugador_14 (ld);Jugador_1 (c);Jugador_5 (pi);Jugador_7 (li),Acción de ataque,Jugada_23,Pérdida
Acción de ataque (34),1380080,18600,Jugador_14 (ld);Jugador_1 (c);Jugador_7 (li);Jugador_9 (pi);Jugador_4 (ed),Acción de ataque,Jugada_69,Gol
Acción de ataque (8),230200,8000,Jugador_14 (ld);Jugador_1 (c);Jugador_7 (li);Jugador_9 (pi);Jugador_6 (ei),Acción de ataque,Jugada_6,Nada
Acción de ataque (1),17240,14800,Jugador_14 (ld);Jugador_1 (c);Jugador_7 (li);Jugador_9 (pi),Acción de ataque,Jugada_24,Nada
Acción de ataque (7),209400,10400,Jugador_14 (ld);Jugador_1 (c);Jugador_7 (li);Jugador_9 (pi),Acción de ataque,Jugada_36,Nada
Acción de ataque (2),41760,10800,Jugador_14 (ld);Jugador_1 (c);Jugador_7 (li);Jugador_9 (pi),Acción de ataque,Jugada_13,Gol
